130,130
130,140
130,120
120,140
120,130
140,140
130,150
140,150
120,120
120,150
140,130
140,160
130,110
130,160
120,160
110,160
110,150
120,110
130,100
140,120
110,140
150,160
150,150
150,140
100,160
140,170
120,100
100,170
110,170
160,160
150,170
130,170
160,150
140,100
120,170
100,150
140,110
130,90
110,130
110,120
160,140
140,180
160,170
100,180
150,130
170,160
120,180
150,180
130,180
100,140
110,180
180,160
160,180
180,170
140,90
120,90
140,80
170,150
110,110
150,120
170,170
90,170
90,180
160,130
170,180
100,120
100,130
90,160
120,190
190,180
170,140
130,80
180,180
190,170
100,190
140,190
130,190
120,200
160,120
180,150
150,190
160,190
150,110
110,100
190,160
90,190
110,190
100,110
140,200
130,200
150,90
150,80
180,140
200,180
100,200
110,200
170,130
150,100
160,110
90,150
140,70
150,200
90,140
170,190
170,120
160,200
100,100
120,80
120,210
180,190
90,130
160,100
200,190
80,170
80,180
200,170
160,80
190,140
90,120
110,220
160,90
160,60
180,130
90,200
200,160
150,60
130,210
190,150
150,70
110,210
80,190
180,120
190,190
160,70
90,110
160,50
200,140
80,160
80,140
140,210
170,200
110,90
170,90
170,100
170,110
170,70
80,130
80,150
180,40
140,60
100,210
170,60
120,220
170,50
180,60
200,130
130,70
180,200
180,110
80,200
200,120
190,110
190,120
170,80
210,190
180,80
190,130
70,180
180,90
70,170
190,50
70,150
190,100
180,100
70,190
60,150
60,190
210,180
90,210
170,40
180,50
100,220
150,210
60,200
200,110
200,100
190,200
200,150
80,110
80,120
70,160
70,200
190,90
210,130
100,90
60,160
180,70
70,140
80,210
190,40
90,100
50,200
200,200
60,180
190,80
50,210
210,140
70,210
60,170
60,210
120,70
110,80
210,120
210,170
90,220
70,130
200,80
210,200
130,220
210,150
200,90
210,160
160,210
210,100
200,60
190,60
190,70
150,50
200,30
200,70
80,220
210,110
190,30
50,190
200,40
210,80
210,50
200,50
210,90
180,30
210,60
210,70
200,20
60,140
50,180
70,220
160,40
50,170
220,80
70,120
220,90
220,70
40,210
210,40
210,20
220,100
