130,120,27721340
140,120,2613027
140,130,5995495
130,130,95375388
140,140,12722719
130,140,34260539
140,150,9139109
130,150,10542526
140,110,967065
130,110,4456725
120,130,14577858
150,140,2164909
150,130,782309
150,120,419856
150,150,2198282
150,160,2399726
140,160,5677908
140,100,1043808
120,150,6811472
120,140,14691981
110,150,3139306
110,160,3307268
120,160,3395536
110,140,2423034
120,120,8290485
130,160,4277949
110,130,937147
130,170,1125570
120,170,1039335
120,110,3056383
120,100,1671340
130,100,2876844
130,90,959209
130,180,604493
110,110,421294
120,90,452257
140,90,483311
100,150,971999
100,140,580233
100,160,2156937
150,90,142446
150,80,142208
90,160,298533
160,80,74037
90,150,109055
110,120,904787
140,170,1740910
140,180,863797
140,190,246453
150,180,622040
100,120,323497
100,130,303854
150,190,216854
150,170,1138231
110,170,1336297
110,180,576679
110,190,193281
100,190,248664
120,180,624549
160,70,43138
110,200,129310
140,80,438467
130,80,272808
120,190,296454
160,170,827608
160,160,1277515
160,150,1052281
160,140,904158
160,180,512860
110,100,210303
100,180,801005
100,200,129698
160,130,335368
100,170,1481726
170,140,282687
90,190,199241
90,200,66489
80,200,25412
90,210,13257
80,210,4211
90,180,406662
130,190,244084
120,200,241481
170,150,433168
180,160,554635
170,160,632748
130,200,149046
120,210,91020
100,110,173583
100,100,97020
90,170,409104
170,170,416995
170,180,324672
180,180,272771
180,170,485954
140,200,169501
190,180,295583
150,200,107737
200,180,131588
190,170,248904
190,160,201397
180,150,226306
180,140,136907
190,190,45524
200,170,77009
160,120,236591
190,150,57502
170,130,125502
180,190,89795
200,190,83390
160,190,213038
150,110,211379
150,100,124121
160,110,110838
90,140,105844
80,160,40165
180,130,66952
190,140,73408
200,160,60761
110,210,54033
100,210,31090
160,100,88152
160,90,67637
170,70,35443
170,60,30841
180,60,26205
180,50,13176
170,80,22804
190,50,15575
190,40,4204
160,60,67038
150,70,56308
110,90,36703
120,80,93444
140,70,107968
130,70,25999
110,80,1848
90,120,72311
90,110,41749
80,120,7544
80,130,33773
90,130,89207
100,90,5429
80,150,33373
70,160,6888
70,170,15958
70,180,20813
80,170,79309
170,190,99121
210,190,22680
210,200,1185
150,60,58872
80,190,47797
80,180,78541
80,140,40118
160,200,98171
190,130,20972
210,180,13259
170,120,98725
210,170,1395
140,210,40054
150,210,11129
130,210,58307
130,220,1022
120,220,28967
170,200,39718
180,120,47698
200,140,41242
190,120,23227
200,130,26079
180,110,25601
190,110,23270
170,110,35776
200,120,24019
200,110,10236
200,150,7710
110,220,72095
100,220,11903
120,70,1854
180,200,25804
190,200,8039
170,100,35856
180,100,14978
190,100,15099
200,100,9129
140,60,31976
70,190,14341
70,200,5910
60,190,13391
60,180,3079
60,170,2021
50,200,3379
60,200,10789
50,190,274
170,90,36346
180,80,21692
180,90,16450
170,50,27907
160,50,41598
70,150,15483
160,210,726
70,140,4389
200,200,3180
210,160,782
210,120,1523
210,100,703
210,130,5616
210,110,380
210,90,231
200,90,977
50,180,57
70,130,1269
190,90,5678
210,150,1014
210,140,2183
180,70,4402
190,70,550
190,60,572
190,80,2494
200,60,647
210,50,240
200,50,236
210,60,103
200,70,482
200,40,267
200,80,1255
210,80,256
210,70,84
170,40,13186
90,100,3999
80,110,7643
220,80,7
200,30,496
150,50,532
180,40,32230
200,20,76
190,30,293
220,70,2
210,40,1
210,20,1
90,220,1320
160,40,50
180,30,206
80,220,417
60,160,4918
70,210,2046
50,210,2462
60,210,1880
70,220,53
60,150,14037
60,140,67
50,170,14
70,120,6
220,90,4
220,100,1
40,210,2
